timestamp,open,high,low,close,volume,kdj_k,kdj_d,kdj_j,rsi,wr,kdj_golden_cross,kdj_death_cross,rsi_cross_up_oversold,rsi_cross_down_overbought,wr_cross_up_oversold,wr_cross_down_overbought,buy_score,sell_score,triple_sword_decision,equity
2022-01-01 00:00:00,100.61027015394308,100.75870799200976,99.21276905155152,99.83888819087551,1000.0,50.0,50.0,50.0,50.0,-59.499102911632626,False,False,False,False,False,False,0,0,HOLD,100000.0
2022-01-01 01:00:00,99.93402493532756,101.0005422820156,99.61826502600326,101.14899737750699,1000.0,69.43463695435332,56.47821231811778,95.34748622682442,50.0,8.30391086306,True,False,False,False,False,False,1,0,HOLD,100000.0
2022-01-01 02:00:00,99.93291768161207,100.82176334017437,99.0171580174052,99.99954825590157,1000.0,62.80009430101343,58.585506312416335,71.22927027820764,51.417612648374345,-50.468991005666375,False,False,False,False,False,True,0,1,HOLD,100000.0
2022-01-01 03:00:00,98.69983337082073,99.55099070172112,98.1022528611884,99.17406280645208,1000.0,54.19365517460258,57.12155593314509,48.33785365751757,37.374612414373345,-63.01922307821913,False,True,False,False,False,False,0,1,HOLD,100000.0
2022-01-01 04:00:00,99.47803933553514,99.0160272180086,97.54189191138443,98.73526367349547,1000.0,47.63042751383101,53.9578464600404,34.97558962141221,32.32128301429535,-65.49602780771214,False,False,False,False,False,False,0,0,HOLD,100000.0
2022-01-01 05:00:00,98.38767630586949,99.0245190591379,96.63318335762595,97.58561823541294,1000.0,39.02296116717725,48.97955136241936,19.109780776693043,23.395949861136245,-78.19197152613029,False,False,False,False,False,False,0,0,HOLD,100000.0
2022-01-01 06:00:00,98.25998592456803,98.849372188589,96.92245093721064,98.126215522972,1000.0,37.41069300994618,45.1232652449283,21.985548539981934,32.79401441164947,-65.81384330451597,False,False,False,False,False,False,0,0,HOLD,100000.0
2022-01-01 07:00:00,98.84986693692075,100.36993441187172,98.21970642342768,99.33729785696849,1000.0,45.579285501240065,45.27527199703222,46.187312509655754,48.14296979230472,-38.08352951617216,True,False,False,False,False,False,1,0,HOLD,100000.0
2022-01-01 08:00:00,98.93625890757716,100.09035061917864,98.54710336853536,99.53162972885464,1000.0,52.508228095106944,47.68625736305713,62.15216955920657,50.11186754783282,-33.633886717159314,False,False,False,False,False,False,0,0,HOLD,100000.0
2022-01-01 09:00:00,98.18275034245637,98.69875471384647,97.19765160765196,98.51953005818757,1000.0,49.40279609197498,48.25843693936308,51.69151439719877,41.314012007961914,-56.80806791428896,False,False,False,False,False,False,0,0,HOLD,100000.0
2022-01-01 10:00:00,98.82877895597929,99.22373023608722,98.34020719400537,99.01152393242307,1000.0,51.86238023232131,49.45975137034916,56.66763795626561,46.25376653646149,-45.54281853238106,False,False,False,False,False,False,0,0,HOLD,100000.0
2022-01-01 11:00:00,99.10808789285943,99.67240723073839,98.72236509190884,99.09472000627645,1000.0,56.532824342384856,51.81744236102773,65.96358830509911,47.06517631678661,-43.63786692905024,False,False,False,False,False,False,0,0,HOLD,100000.0
2022-01-01 12:00:00,99.52673052361251,99.8442443813144,99.05056492801455,98.75305630790439,1000.0,56.59867513596012,53.41118661933854,62.97365216920329,44.11938267653579,-51.4609862166368,False,False,False,False,False,False,0,0,HOLD,100000.0
2022-01-01 13:00:00,98.26034540140384,99.5832486339817,97.76260871219034,98.38247998952674,1000.0,53.336884767596544,53.38641933542455,53.23781563194055,41.11363826204675,-59.94612162211376,False,True,False,False,False,False,0,1,HOLD,100000.0
